CommonNameCat,Family,Genus,Species,Authority,Code,Group,Family2,Raunkiaer,Woodiness,LeafType,LeafPhenology,Leafshape,Mechanism,Ref.Mechanism,Clonality,RootType,Dispersal,LeafSize,GrowthForm,Afbt,Bfbt,Cfbt,Dfbt,CR,Awsh,Bwsh,Ratio,Ref. fuels,BD,Ref.BulkDensity,WoodDensity tn/m3,Ref.WoodDensity,SAV,Ref.SAV,Heat,Ref.heat,minFMC,Ref.FMC
Porrassa,LILIACEAE,Asphodelus ramosus,Asphodelus ramosus L. subsp. ramosus,L. ,Asra,monocot,Xanthorrhoeaceae,geophyte,herbaceous,malacophyll,deciduous,linear,resprouter,"Pantis and Margaris, 1988; Garcia et al 2016",storage-organ geophyte,tuberous,autochory,mesophyll,forb,,,,,,0.96,0.71,2.62,Sánchez-Pinillos et al. (2021),,,,,3620,Sánchez-Pinillos et al. (2021),18250,Sánchez-Pinillos et al. (2021),50,"Vilà et al., 2001"
Viola de Sant Pere,PRIMULACEAE,Cyclamen,Cyclamen balearicum,Willk.,Cyba,dicot,Primulaceae,geophyte,herbaceous,malacophyll,deciduous,broad,resprouter,,storage-organ geophyte,tuberous,autochory,notophyll,forb,,,,,,0.96,0.71,2.62,Sánchez-Pinillos et al. (2021),,,,,5740,Sánchez-Pinillos et al. (2021),19740,Sánchez-Pinillos et al. (2021),63.9,
Càrritx,GRAMINEAE (POACEAE),Ampelodesmos,Ampelodesmos mauritanicus,Poiret T. Durand et Schinz,Amma,monocot,Poaceae,hemicryptophyte,herbaceous,sclerophyll,evergreen,linear,resprouter,Lloret et al. 2003,caespitose,fibrous,anemochory,microphyll,graminoid,,,,,,0.96,0.71,2.62,Sánchez-Pinillos et al. (2021),,,,,3620,Sánchez-Pinillos et al. (2021),18250,Sánchez-Pinillos et al. (2021),64.1,Domenech Agenjo et al. 2022
Fenas,GRAMINEAE (POACEAE),Brachypodium,Brachypodium retusum,(Pers.) Beauv.,Brre,monocot,Poaceae,hemicryptophyte,herbaceous,sclerophyll,evergreen,linear,resprouter,Caturla et al. 2000,rhizomatous,fibrous,autochory,microphyll,graminoid,,,,,,0.96,0.71,2.62,Sánchez-Pinillos et al. (2021),,,,,3620,Sánchez-Pinillos et al. (2021),17600,Cohen et al.(2003),20,Santana et al 2011
Margalló,PALMAE,Chamaerops,Chamaerops humilis,L.,Chhu,monocot,Arecaceae,nanophanerophyte,woody,sclerophyll,evergreen,linear,resprouter,Coca and Pausas 2011,basal suckers,fibrous,endozoochory,megaphyll,large shrub,,,,,,0.96,0.71,2.62,Sánchez-Pinillos et al. (2021),,,,,3620,Sánchez-Pinillos et al. (2021),18250,Sánchez-Pinillos et al. (2021),61,Xavier Castro (unpublished) 
Ginebró,CUPRESSACEAE,Juniperus,Juniperus oxycedrus subsp. oxycedrus,L. ,Juox,gymnosperm,Cupressaceae,phanerophyte,woody,sclerophyll,evergreen,needle-like,resprouter,"Quevedo, Rodrigo, Espelta 2007",nonclonal,taproot,endozoochory,leptophyll,large shrub,0.231,0.79,0.00,0.00,,0.31,0.76,2.62,Sánchez-Pinillos et al. (2021),,,,,10200,Elvira and Hernando (1989),22560,Elvira and Hernando (1989),37,Elvira and Hernando (1989)
LLentiscle,ANACARDIACEAE,Pistacia,Pistacia lentiscus,L.,Pile,dicot,Anacardiaceae,macrophanerophyte,woody,sclerophyll,evergreen,broad,resprouter,"Vilà-Cabrera, Saura-Mas, and Lloret 2008; Coca and Pausas 2011",basal suckers,branched,endozoochory,microphyll,large shrub,,,,,0.52,1.53,0.65,2.27,Sánchez-Pinillos et al. (2021),1.34,de Cáceres et al.(2020),0.68,,7030,Cohen et al.(2003),19900,Cohen et al.(2003),95.8,Domenech Agenjo et al. 2022
Coscoll,FAGACEAE,Quercus,Quercus coccifera,L.,Quco,dicot,Fagaceae,nanophanerophyte,woody,sclerophyll,evergreen,broad,resprouter,Coca and Pausas 2011,basal suckers,taproot,synzoochory,nanophyll,large shrub,,,,,0.97,0.64,0.56,2.29,Sánchez-Pinillos et al. (2021),1.85,de Cáceres et al.(2020),0.82,,4141,Cohen et al.(2003),21100,Cohen et al.(2003),43,Elvira and Hernando (1989)
Lligabosc,CAPRIFOLLIACEAE,Lonicera,Lonicera implexa,Ait.,Loim,dicot,Caprifoliaceae,phanerophyte,woody,sclerophyll,evergreen,broad,resprouter,"Vilà-Cabrera, Saura-Mas, and Lloret 2008; Coca and Pausas 2011",layering,fibrous,endozoochory,microphyll,liana,,,,,,0.96,0.71,3.01,Sánchez-Pinillos et al. (2021),,,,,5740,Sánchez-Pinillos et al. (2021),19740,Sánchez-Pinillos et al. (2021),71,Sánchez-Pinillos et al. (2021)
Esbarzerola,ROSACEAE,Rubus ,Rubus caesius,L.,Ruca,dicot,Rosaceae,phanerophyte,woody,malacophyll,semi deciduous,broad,resprouter,,tip rooting,branched,endozoochory,mesophyll,liana,,,,,,0.96,0.71,2.62,Sánchez-Pinillos et al. (2021),,,,,4039,Sánchez-Pinillos et al. (2021),20037,Elvira and Hernando (1989) for R. ulmifolius,71,Elvira and Hernando (1989) for Rubus idaeus
