PlotID,UTMZone,Easting_m,Northing_m,Fire_94,Fire_13,TimeSinceLastFire,Features,Elevation_m,Aspect_deg,Slope_pct,Canopy_N,Canopy_E,Canopy_S,Canopy_W,FuelClass,Crew,InventoryDate
MANFV04,31N,448919,4382430,1,M,19,NT,251.1,212,15,46,85,33,29,TU1,AAT,16-Apr-24
MANFV11,31N,449116,4383287,1,H,19,NT,338,166,36,0,0,0,0,SH1,AAT,29-May-24
MANFV12,31N,448646,4382162,1,M,19,T,185,60,21,3,4,9,0,SH5,AAT,10-Jun-24
MANFV13,31N,448807,4382466,1,H,19,NT,230.3,232,17,0,0,0,0,GS3,AAT,11-Jun-24
MANFV14,31N,449405,4382955,1,H,19,NT,401.1,176,35,0,0,0,0,GS1,AAT,12-Jun-24
MANFV16,31N,448955,4381782,1,0,19,NT,241.9,8,17,4,78,13,18,TU1,"AAT,SEH",18-Jun-24
MANFV17,31N,448753,4383654,1,H,19,NT,382,160,19,0,0,0,0,GR1,AAT,19-Jun-24
MANFV18,31N,448723,4383481,1,H,19,NT,346.1,140,32,0,0,0,0,SH1,AAT,19-Jun-24
MANFV19,31N,448715,4383557,1,M,19,NT,365.7,250,7,93,1,1,17,GS2,AAT,20-Jun-24
MANFV21,31N,448864,4381822,1,0,19,NT,242.4,42,19,46,48,87,48,TU1,"AAT,SEH",27-Jun-24
MANFV22,31N,448988,4381615,1,0,19,NT,268.6,62,8,78,95,7,42,TU1,"AAT,SEH",28-Jun-24
MANFV24,31N,448490,4382869,1,M,19,T,244.4,74,27,0,4,20,46,TU2,"AAT,SEH",2-Jul-24
MANFV25,31N,448515,4382759,1,H,19,T,240,135,25,0,0,0,0,SH4,"AAT,SEH",4-Jul-24
MANFV26,31N,448558,4382917,1,M,19,T,234.5,172,24,29,15,20,7,TL4,"AAT,SEH",5-Jun-24
MANFV27,31N,449159,4383696,1,H,19,T,363.8,320,17,0,0,0,0,SH1,AAT,8-Jul-24
MANFV01,31N,449582,4383457,0,M,30+,T,260.5,172,10,17,24,50,5,TU1,"AAT,SEH",2-Feb-24
MANFV02,31N,449353,4383143,0,H,30+,NT,335.7,26,63,0,0,0,0,SH4,AAT,16-Feb-24
MANFV03,31N,449125,4383016,0,M,30+,NT,309.2,330,55,44,7,21,15,TU4,AAT,13-Feb-24
MANFV05,31N,449210,4382506,0,M,30+,T,273.3,156,20,92,35,85,52,TL4,AAT,6-May-24
MANFV06,31N,449807,4381685,0,0,30+,T,152.5,230,11,36,18,18,96,TU3,AAT,8-May-24
MANFV07,31N,449227,4381645,0,0,30+,T,140.5,156,13,80,10,96,94,TU1,AAT,9-May-24
MANFV08,31N,450224,4383696,0,0,30+,T,308.1,190,12,16,54,48,8,TU1,AAT,16-May-24
MANFV09,31N,449591,4383576,0,H,30+,T,292.3,176,30,96,96,88,96,SH8,"AAT,MLTT",22-May-24
MANFV10,31N,449587,4382997,0,H,30+,NT,311.9,90,37,90,0,96,74,SH8,AAT,28-May-24
MANFV15,31N,449394,4382737,0,M,30+,NT,325.8,270,50,66,79,78,91,TU1,"AAT,SEH",13-Jun-24
MANFV20,31N,449754,4382549,0,M,30+,T,228.4,114,17,47,96,64,92,TU1,AAT,26-Jun-24
MANFV23,31N,449674,4382976,0,H,30+,T,278.7,40,20,96,89,84,30,TU4,AAT,3-Jul-24
MANFV28,31N,448657,4383799,0,H,30+,T,414.5,100,18,0,0,0,0,GS3,AAT,9-Jul-24
MANFV29,31N,449363,4384010,0,H,30+,T,370.5,210,22,0,0,0,0,GS4,AAT,10-Jul-02
